Student,L004,V019,V020,V021,V022,V023,V024,L005,P001,V025,L002,V008,V009,V010,V011,V012,V013,V014,L003,V015,V016,V017,V018,L001,V001,V002,V003,V004,V005,V006,V007
S001,63,76.0,70,75,80.0,70.0,83,61,72.0,63,54,65.0,73,82,68.0,67.0,90.0,80,50,78,91,58,77,56,82,74,68.0,78,87,63,79
S002,50,,71,52,53.0,47.0,60,56,,50,49,50.0,44,50,44.0,40.0,49.0,40,56,54,46,54,56,55,31,39,56.0,50,58,51,60
S003,67,74.0,69,80,81.0,79.0,74,60,64.0,70,56,79.0,69,83,89.0,70.0,90.0,84,56,85,90,63,82,52,83,88,79.0,85,66,62,74
S004,50,,60,56,,43.0,70,45,,41,36,50.0,41,54,45.0,51.0,35.0,50,53,52,47,49,66,54,34,35,49.0,49,61,61,62
S005,36,58.0,60,51,46.0,52.0,68,34,54.0,53,43,65.0,41,31,50.0,58.0,38.0,49,37,44,54,50,47,56,74,54,49.0,53,60,54,73
S006,66,,75,56,61.0,61.0,71,48,71.0,54,59,73.0,44,54,70.0,68.0,45.0,50,60,65,55,56,62,62,63,55,63.0,63,66,62,75
S007,46,11.0,62,67,84.0,0.0,0,63,61.0,48,66,68.0,44,91,75.0,71.0,64.0,67,60,74,68,56,75,61,85,76,79.0,79,64,66,82
S008,67,79.0,69,70,69.0,68.0,73,58,74.0,70,61,75.0,58,81,72.0,79.0,51.0,59,55,71,68,54,66,58,72,69,82.0,76,77,68,74
S010,50,56.0,61,47,43.0,50.0,64,40,67.0,54,50,42.0,41,40,48.0,54.0,42.0,53,51,40,52,49,53,59,56,42,60.0,33,65,60,67
S011,58,68.0,66,61,64.0,56.0,70,54,70.0,55,48,68.0,57,73,70.0,62.0,52.0,56,50,67,68,52,69,53,69,68,65.0,49,73,62,68
S012,55,74.0,71,71,70.0,67.0,74,60,74.0,63,51,77.0,56,61,71.0,64.0,61.0,60,47,58,62,54,65,58,72,65,60.0,65,69,63,64
S013,48,57.0,54,60,59.0,51.0,73,53,56.0,51,56,45.0,43,57,66.0,55.0,47.0,55,45,45,55,45,69,57,72,54,53.0,41,71,64,69
S014,49,74.0,65,75,86.0,72.0,79,58,70.0,74,59,89.0,62,84,87.0,77.0,74.0,52,51,75,65,55,63,50,87,92,80.0,75,72,71,82
S016,45,,63,62,52.0,41.0,73,44,63.0,53,40,51.0,42,64,50.0,50.0,66.0,49,54,38,56,51,61,57,58,53,55.0,46,59,56,76
S017,42,,61,57,39.0,35.0,57,45,,48,52,38.0,44,52,46.0,36.0,37.0,37,35,49,52,48,67,48,40,39,52.0,42,59,43,76
S018,60,77.0,72,78,81.0,75.0,79,62,65.0,68,55,78.0,54,90,82.0,79.0,76.0,89,55,89,82,60,83,54,84,85,88.0,61,83,65,66
S019,68,82.0,72,74,80.0,81.0,82,66,70.0,71,63,83.0,57,84,86.0,79.0,82.0,89,57,81,76,60,76,61,80,81,79.0,79,61,70,71
S020,42,63.0,53,55,64.0,53.0,53,45,,49,54,61.0,44,41,47.0,56.0,43.0,51,45,52,56,49,54,53,55,39,52.0,40,69,56,64
S021,50,77.0,64,67,65.0,64.0,79,51,69.0,68,68,57.0,43,58,66.0,63.0,46.0,50,58,72,66,63,58,56,76,67,66.0,63,62,61,77
